date,year,month,day,ordinal,population,sex,SL,BD,AFL,DFL
20130629,2013,6,29,179,aomori,m,26.01564314,5.706843511,4.471499884,4.457569074
20130629,2013,6,29,179,aomori,m,24.10349431,5.374245414,4.590347109,4.582365916
20130629,2013,6,29,179,aomori,m,23.59763176,5.166008823,4.409827026,3.609385883
20130629,2013,6,29,179,aomori,m,25.1300209,5.543882052,4.704115394,4.313327142
20130629,2013,6,29,179,aomori,m,23.53668447,5.02002554,4.413454841,4.224953564
20130629,2013,6,29,179,aomori,m,21.99181565,4.768255166,4.395170652,4.132807058
20130629,2013,6,29,179,aomori,m,25.69189691,5.689139772,4.369485721,4.642007198
20130629,2013,6,29,179,aomori,m,24.07998607,5.341304853,4.755775482,4.417663107
20130629,2013,6,29,179,aomori,m,25.38962735,5.968916879,5.506878338,5.107528442
20130629,2013,6,29,179,aomori,m,23.54060251,5.049918737,4.483979568,4.191432552
20130629,2013,6,29,179,aomori,m,23.00774901,5.027426283,4.826300209,4.591798235
20130629,2013,6,29,179,aomori,m,28.35964709,6.021737869,4.355119573,5.003192477
20130629,2013,6,29,179,aomori,m,24.09725447,5.132778036,4.801631066,4.535929882
20130629,2013,6,29,179,aomori,m,24.91032041,5.529951242,4.80351753,4.815852101
20130629,2013,6,29,179,aomori,m,23.01514976,4.991293244,4.921203854,4.369630834
20130629,2013,6,29,179,aomori,m,27.57618412,6.291357093,5.563907592,5.004933829
20130629,2013,6,29,179,aomori,m,24.1448514,5.50368586,4.464969817,4.267326445
20130629,2013,6,29,179,aomori,m,24.43420594,5.202141862,4.540718598,4.435221732
20130629,2013,6,29,179,aomori,m,27.62552241,5.782737404,5.189662178,4.873606919
20130629,2013,6,29,179,aomori,f,28.74825865,5.666357093,4.136144648,4.058509403
20130629,2013,6,29,179,aomori,f,25.20780125,4.734153703,2.971180636,2.9396912
20130629,2013,6,29,179,aomori,f,30.30372069,5.055287903,4.030212445,3.748403761
20130629,2013,6,29,179,aomori,f,28.00237985,4.713547713,3.649727188,3.364000464
20130629,2013,6,29,179,aomori,f,29.10262364,5.333033434,3.813123984,3.6659798
20130629,2013,6,29,179,aomori,f,24.31071511,4.196801718,3.137624797,2.919375435
20130629,2013,6,29,179,aomori,f,23.79440446,4.453070583,3.244717901,3.005427212
20130629,2013,6,29,179,aomori,f,22.24590782,3.964476434,3.170420246,2.992221964
20130629,2013,6,29,179,aomori,f,25.61455189,4.621110982,3.417837242,3.048815881
20130629,2013,6,29,179,aomori,f,28.45716276,5.050499187,3.55134084,3.489813095
20130629,2013,6,29,179,aomori,f,26.22054214,4.436963083,3.299280241,3.027194103
20130629,2013,6,29,179,aomori,f,26.48276062,4.680752264,3.54074762,3.34426515
20130629,2013,6,29,179,aomori,f,24.5073427,4.429127003,3.446424425,3.015149756
20130629,2013,6,29,179,aomori,f,25.10985024,4.745182261,3.478204086,3.512450662
20130629,2013,6,29,179,aomori,f,25.65271651,4.611678663,3.242105874,2.968423497
20130629,2013,6,29,179,aomori,f,29.18330625,4.967494776,4.091014627,4.014540283
20130629,2013,6,29,179,aomori,f,25.3498665,4.452199907,3.644648247,3.339621546
20130629,2013,6,29,179,aomori,f,25.17224866,4.349169956,3.103378221,2.692419317
20130629,2013,6,29,179,aomori,f,25.02002554,4.326097051,3.193638263,3.112520316
20130629,2013,6,29,179,aomori,f,28.26837126,4.941519619,3.630427212,3.049106106
20130714,2013,7,14,194,aomori,m,26.01946959,5.928360028,4.790941272,4.797759981
20130714,2013,7,14,194,aomori,m,27.39626857,6.223160399,5.527071727,5.501247679
20130714,2013,7,14,194,aomori,m,24.84505571,5.761809424,4.360056871,4.852019499
20130714,2013,7,14,194,aomori,m,25.37473886,5.593082637,4.902361885,4.647458217
20130714,2013,7,14,194,aomori,m,27.23537604,6.140175255,5.675342386,5.149141133
20130714,2013,7,14,194,aomori,m,26.48067549,5.9051474,5.887302693,5.038881151
20130714,2013,7,14,194,aomori,m,26.12856894,5.633559656,5.031337047,5.04584494
20130714,2013,7,14,194,aomori,m,26.10230966,5.389681987,5.360085887,5.110259981
20130714,2013,7,14,194,aomori,m,25.55086467,5.495444522,4.102251625,4.100510678
20130714,2013,7,14,194,aomori,m,27.48215529,6.405379526,5.684772516,5.163503946
20130714,2013,7,14,194,aomori,m,25.35413765,5.648938022,4.857097261,4.5608461
20130714,2013,7,14,194,aomori,m,25.38387883,5.956940576,5.50371402,4.459290854
20130714,2013,7,14,194,aomori,m,25.68448236,5.72873143,5.004207289,4.783977484
20130714,2013,7,14,194,aomori,m,26.76981778,5.822307335,5.209929201,5.159731894
20130714,2013,7,14,194,aomori,m,26.90430594,6.201833798,5.160602368,5.035834494
20130714,2013,7,14,194,aomori,m,23.3920903,5.213266017,4.48003714,4.472638115
20130714,2013,7,14,194,aomori,m,24.0273909,5.216457753,4.651520427,3.988654828
20130714,2013,7,14,194,aomori,m,27.65204271,6.211844243,5.562906221,5.16843663
20130714,2013,7,14,194,aomori,m,26.20792711,5.692171541,4.855646472,4.885822888
20130714,2013,7,14,194,aomori,m,25.91646356,5.95505455,4.62148909,4.543146472
20130714,2013,7,14,194,aomori,f,29.61060817,5.297847029,3.853151114,3.813689647
20130714,2013,7,14,194,aomori,f,30.82129178,5.597870241,4.271993965,3.640755571
20130714,2013,7,14,194,aomori,f,29.8678331,5.211815227,4.13387883,3.213498143
20130714,2013,7,14,194,aomori,f,26.696698,4.88016481,3.432712396,3.326224466
20130714,2013,7,14,194,aomori,f,31.891539,5.486739786,3.767844708,3.906685237
20130714,2013,7,14,194,aomori,f,29.43839949,5.155669684,3.802228412,3.578081476
20130714,2013,7,14,194,aomori,f,26.41292363,4.700847261,3.112668292,3.273560817
20130714,2013,7,14,194,aomori,f,29.49091806,5.742513928,4.293175487,4.062935237
20130714,2013,7,14,194,aomori,f,25.64618152,4.743645543,3.517583565,3.362204039
20130714,2013,7,14,194,aomori,f,25.1906337,4.619893222,3.155466574,3.134139972
20130714,2013,7,14,194,aomori,f,28.99968083,5.132166899,4.005629062,2.972376973
20130714,2013,7,14,194,aomori,f,27.18909587,4.714919916,3.727222609,2.990511838
20130714,2013,7,14,194,aomori,f,24.91367804,4.709551996,2.944957057,2.829329155
20130714,2013,7,14,194,aomori,f,26.30527507,4.927170381,3.613770891,3.315198468
20130714,2013,7,14,194,aomori,f,24.57245241,4.584203807,3.176357939,2.873578227
